name,slug,value,date_of_information,ranking,region
"Zimbabwe","zimbabwe","$2,100","2021 est.","212","Africa"
"Kiribati","kiribati","$1,900","2021 est.","213","Australia and Oceania"
"Guinea-Bissau","guinea-bissau","$1,800","2021 est.","214","Africa"
"Korea, North","korea-north","$1,700","2015 est.","215","East and Southeast Asia"
"Eritrea","eritrea","$1,600","2017 est.","216","Africa"
"Sierra Leone","sierra-leone","$1,600","2021 est.","217","Africa"
"South Sudan","south-sudan","$1,600","2017 est.","218","Africa"
"Afghanistan","afghanistan","$1,500","2021 est.","219","South Asia"
"Madagascar","madagascar","$1,500","2021 est.","220","Africa"
"Malawi","malawi","$1,500","2021 est.","221","Africa"
"Chad","chad","$1,400","2021 est.","222","Africa"
"Liberia","liberia","$1,400","2021 est.","223","Africa"
"Mozambique","mozambique","$1,200","2021 est.","224","Africa"
"Niger","niger","$1,200","2021 est.","225","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$1,100","2021 est.","226","Africa"
"Somalia","somalia","$1,100","2021 est.","227","Africa"
"Central African Republic","central-african-republic","$800","2021 est.","228","Africa"
"Burundi","burundi","$700","2021 est.","229","Africa"
